wind ,Efficiency,VarOM,FixOM,CAPEX,Life,capacity,period,W1,W2,W3,W4,W5,W6
,,,,,,,268,0.122635182,0.70732625,0.303817083,0.447859077,0.0656556,0.475548014
,,,,,,,269,0.120537318,0.6814,0.26794375,0.426388154,0.0557728,0.459516968
,,,,,,,270,0.120441864,0.6814,0.26794375,0.426388154,0.0557728,0.443491697
,,,,,,,271,0.120346409,0.64167,0.241470833,0.391643615,0.052646,0.420251264
,,,,,,,272,0.121940068,0.64167,0.241470833,0.391643615,0.052646,0.397017329
,,,,,,,273,0.123533727,0.6277,0.22343625,0.358465692,0.0498816,0.380828159
,,,,,,,274,0.123946909,0.6277,0.22343625,0.358465692,0.0498816,0.364644043
,,,,,,,275,0.124360091,0.60386125,0.203841667,0.338692385,0.0519328,0.355184838
,,,,,,,276,0.124737182,0.60386125,0.203841667,0.338692385,0.0519328,0.345729964
,,,,,,,277,0.125114273,0.58941,0.187163333,0.336063385,0.0836872,0.338514079
,,,,,,,278,0.121993273,0.58941,0.187163333,0.336063385,0.0836872,0.331302527
,,,,,,,279,0.118872273,0.583415,0.171730833,0.368588077,0.090528,0.321043321
,,,,,,,280,0.11550975,0.583415,0.171730833,0.368588077,0.090528,0.310788448
,,,,,,,281,0.112147227,0.5856,0.148133333,0.322937308,0.100197,0.303412996
,,,,,,,282,0.110106568,0.5856,0.148133333,0.322937308,0.100197,0.296042599
,,,,,,,283,0.108065909,0.5933975,0.12501125,0.311287692,0.121022,0.301643321
,,,,,,,284,0.103936636,0.5933975,0.12501125,0.311287692,0.121022,0.307248375
,,,,,,,285,0.099807364,0.59856875,0.1094875,0.286393077,0.141038,0.315892419
,,,,,,,286,0.098682523,0.59856875,0.1094875,0.286393077,0.141038,0.324540794
,,,,,,,287,0.097557682,0.60182625,0.096971667,0.280885,0.275112,0.336708303
,,,,,,,288,0.096168841,0.60182625,0.096971667,0.280885,0.275112,0.348880144
,,,,,,,289,0.09478,0.6061625,0.0864325,0.259047923,0.304364,0.390841155
,,,,,,,290,0.092753136,0.6061625,0.0864325,0.259047923,0.304364,0.401410108
,,,,,,,291,0.090726273,0.62839,0.07560125,0.252737154,0.338062,0.412615162
,,,,,,,292,0.086916636,0.62839,0.07560125,0.252737154,0.338062,0.423824549
,,,,,,,293,0.083107,0.68153,0.064215,0.272781308,0.352676,0.435187726
,,,,,,,294,0.0791955,0.68153,0.064215,0.272781308,0.352676,0.446557401
,,,,,,,295,0.075284,0.7433225,0.054114917,0.296795,0.35694,0.462885921
,,,,,,,296,0.074308318,0.7433225,0.054114917,0.296795,0.35694,0.479220217
,,,,,,,297,0.073332636,0.7945125,0.047609,0.290226692,0.368738,0.498109747
,,,,,,,298,0.071407818,0.7945125,0.047609,0.290226692,0.368738,0.517006498
,,,,,,,299,0.069483,0.86079,0.04354175,0.278100385,0.3763,0.529649097
,,,,,,,300,0.066898636,0.86079,0.04354175,0.278100385,0.3763,0.542298195
,,,,,,,301,0.064314273,0.84723,0.040109833,0.271034769,0.382588,0.558943682
,,,,,,,302,0.060110727,0.84723,0.040109833,0.271034769,0.382588,0.57559639
,,,,,,,303,0.055907182,0.85263625,0.03571525,0.309278231,0.350496,0.590319134
,,,,,,,304,0.052041773,0.85263625,0.03571525,0.309278231,0.350496,0.605049097
,,,,,,,305,0.048176364,0.812695,0.03040625,0.30468,0.299835,0.623294585
,,,,,,,306,0.043359468,0.812695,0.03040625,0.30468,0.299835,0.641547292
,,,,,,,307,0.038542573,0.78673,0.025943083,0.378952846,0.258866,0.659790614
,,,,,,,308,0.035257859,0.78673,0.025943083,0.378952846,0.258866,0.678042599
